identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0164135.2,396.53,6.26,0.25,False,2.63,Terpenoids,Sesterterpenoids,605028,7.5973372,5.8724847
CNP0003505.0,1179.31,-3.5,0.08,True,2.0,Terpenoids,Steroids,605041,14.24606,-1.5557483
CNP0483360.1,911.49,18.65,0.03,False,0.54,Fatty acids,Glycerolipids,605047,24.897366,19.104057
CNP0563771.1,500.72,6.53,0.33,False,2.47,Terpenoids,Triterpenoids,605052,4.576453,2.4955938
CNP0301924.0,969.13,0.34,0.09,True,2.53,Terpenoids,Triterpenoids,605053,9.15916,17.32538
CNP0221585.1,434.53,4.58,0.6,False,2.39,Terpenoids,Meroterpenoids,605061,6.206727,4.2733254
CNP0253466.1,460.5,1.37,0.21,False,0.34,Alkaloids,Histidine alkaloids,605068,11.035745,5.7255416
CNP0495220.1,863.45,17.7,0.03,False,0.28,Fatty acids,Glycerolipids,605072,5.0064707,-15.67946
CNP0326575.1,1084.24,-3.34,0.05,False,0.63,Amino acids and Peptides,Oligopeptides,605100,12.999333,6.0693417
CNP0569610.2,464.52,2.61,0.43,False,1.57,Alkaloids,Tyrosine alkaloids,605153,8.358982,8.146108
CNP0123778.1,685.92,7.7,0.12,False,1.85,Terpenoids,Steroids,605156,10.463538,9.30749
CNP0119487.3,474.73,5.49,0.46,False,3.24,Terpenoids,Triterpenoids,605194,5.7770443,1.7767963
CNP0461656.0,536.72,8.28,0.31,False,0.21,Alkaloids,,605204,8.9459305,5.7521114
CNP0445864.1,488.75,5.33,0.39,False,3.0,Terpenoids,Triterpenoids,605208,6.161418,1.0712829
CNP0263875.1,959.09,-2.69,0.04,True,2.15,Terpenoids,Steroids,605243,13.439291,-0.8227738
CNP0072208.1,376.41,1.22,0.54,False,-0.26,Alkaloids,Lysine alkaloids,605287,9.9626465,5.070812
CNP0158677.1,296.45,4.86,0.36,False,1.7,Fatty acids,Octadecanoids,605295,10.39246,2.323411
CNP0455369.0,295.29,1.02,0.57,False,0.71,Alkaloids,Pseudoalkaloids,605313,8.89921,5.3676777
CNP0469602.1,272.38,0.63,0.6,False,2.04,Terpenoids,Sesquiterpenoids,605314,6.592776,2.0651882
CNP0577396.1,849.42,17.45,0.03,False,0.29,Fatty acids,Glycerolipids,605316,-3.6524022,-14.648957
CNP0228352.1,390.56,6.1,0.53,False,1.84,Terpenoids,Meroterpenoids,605372,6.11164,3.2087858
CNP0153857.1,302.46,5.11,0.46,False,3.42,Terpenoids,Diterpenoids,605406,7.236776,2.899251
